data,inizio sintomi,inizio sintomi solo sintomatici,prelievo/diagnosi
2020-01-28,15,13,
2020-01-29,20,17,2
2020-01-30,28,25,
2020-01-31,33,28,
2020-02-01,52,43,
2020-02-02,41,35,
2020-02-03,25,23,
2020-02-04,24,22,
2020-02-05,29,28,
2020-02-06,26,23,1
2020-02-07,22,19,
2020-02-08,16,16,
2020-02-09,17,17,
2020-02-10,61,55,
2020-02-11,32,23,
2020-02-12,54,50,
2020-02-13,51,44,
2020-02-14,68,63,
2020-02-15,151,140,
2020-02-16,83,77,
2020-02-17,146,136,
2020-02-18,163,151,
2020-02-19,145,135,
2020-02-20,408,385,4
2020-02-21,317,299,36
2020-02-22,401,380,58
2020-02-23,502,465,77
2020-02-24,677,615,86
2020-02-25,817,772,190
2020-02-26,740,688,278
2020-02-27,897,810,286
2020-02-28,1208,1137,354
2020-02-29,1079,1008,373
2020-03-01,2478,2266,411
2020-03-02,1944,1798,629
2020-03-03,2245,2037,803
2020-03-04,1952,1765,1077
2020-03-05,2624,2382,1302
2020-03-06,2966,2662,1530
2020-03-07,3122,2853,1415
2020-03-08,3698,3377,1451
2020-03-09,4452,3969,2241
2020-03-10,6135,5475,2451
2020-03-11,4240,3751,2778
2020-03-12,4810,4263,3143
2020-03-13,5372,4753,4106
2020-03-14,4695,4099,3535
2020-03-15,5859,5206,2850
2020-03-16,5336,4725,4820
2020-03-17,4549,4045,5348
2020-03-18,4788,4191,5693
2020-03-19,4268,3745,5689
2020-03-20,6187,5403,6258
2020-03-21,3840,3340,4923
2020-03-22,3798,3367,3926
2020-03-23,4385,3815,6101
2020-03-24,3575,3050,5916
2020-03-25,3818,3238,5804
2020-03-26,3315,2789,5707
2020-03-27,3530,2996,5795
2020-03-28,3149,2665,4528
2020-03-29,2375,2084,3013
2020-03-30,3671,3066,5086
2020-03-31,2595,2160,5362
2020-04-01,4110,3384,5026
2020-04-02,2700,2189,4775
2020-04-03,2710,2243,4449
2020-04-04,2348,1902,3663
2020-04-05,2056,1721,2601
2020-04-06,2452,1938,4090
2020-04-07,2268,1832,4141
2020-04-08,2143,1807,4798
2020-04-09,2062,1659,4688
2020-04-10,2718,2179,5133
2020-04-11,1617,1290,3429
2020-04-12,1639,1437,1920
2020-04-13,1507,1310,2268
2020-04-14,1853,1577,3278
2020-04-15,2163,1752,3949
2020-04-16,1667,1403,3706
2020-04-17,1638,1368,3502
2020-04-18,1299,1151,2640
2020-04-19,1040,909,1388
2020-04-20,1904,1624,3006
2020-04-21,1192,1020,3077
2020-04-22,1226,1047,2606
