data,inizio sintomi,inizio sintomi solo sintomatici,prelievo/diagnosi
2020-01-28,15,12,
2020-01-29,20,17,2
2020-01-30,27,24,
2020-01-31,31,26,
2020-02-01,51,42,
2020-02-02,41,35,
2020-02-03,25,23,
2020-02-04,24,22,
2020-02-05,29,28,
2020-02-06,26,23,1
2020-02-07,22,19,
2020-02-08,16,16,
2020-02-09,17,16,
2020-02-10,61,55,
2020-02-11,31,22,
2020-02-12,54,50,
2020-02-13,51,44,
2020-02-14,68,63,
2020-02-15,151,140,
2020-02-16,83,77,
2020-02-17,146,136,
2020-02-18,163,151,
2020-02-19,145,135,
2020-02-20,406,383,4
2020-02-21,317,299,36
2020-02-22,401,380,58
2020-02-23,503,467,77
2020-02-24,676,614,86
2020-02-25,815,771,190
2020-02-26,740,688,278
2020-02-27,896,809,286
2020-02-28,1206,1135,354
2020-02-29,1078,1007,373
2020-03-01,2475,2263,410
2020-03-02,1940,1794,629
2020-03-03,2246,2039,805
2020-03-04,1950,1763,1076
2020-03-05,2623,2383,1301
2020-03-06,2967,2664,1528
2020-03-07,3121,2853,1483
2020-03-08,3690,3371,1451
2020-03-09,4449,3968,2241
2020-03-10,6129,5471,2451
2020-03-11,4235,3748,2779
2020-03-12,4801,4256,3143
2020-03-13,5365,4749,4105
2020-03-14,4688,4094,3537
2020-03-15,5855,5204,2849
2020-03-16,5332,4722,4815
2020-03-17,4540,4041,5342
2020-03-18,4784,4188,5690
2020-03-19,4264,3743,5680
2020-03-20,6186,5402,6255
2020-03-21,3839,3339,4921
2020-03-22,3795,3366,3926
2020-03-23,4380,3811,6101
2020-03-24,3573,3050,5915
2020-03-25,3814,3234,5803
2020-03-26,3312,2788,5707
2020-03-27,3528,2996,5795
2020-03-28,3145,2664,4528
2020-03-29,2370,2080,3013
2020-03-30,3671,3066,5085
2020-03-31,2592,2158,5363
2020-04-01,4109,3383,5026
2020-04-02,2695,2187,4775
2020-04-03,2709,2242,4449
2020-04-04,2347,1901,3661
2020-04-05,2058,1723,2602
2020-04-06,2449,1936,4088
2020-04-07,2266,1830,4141
2020-04-08,2139,1805,4798
2020-04-09,2058,1658,4686
2020-04-10,2717,2179,5132
2020-04-11,1612,1286,3430
2020-04-12,1633,1433,1921
2020-04-13,1505,1309,2267
2020-04-14,1848,1573,3278
2020-04-15,2162,1752,3950
2020-04-16,1663,1400,3706
2020-04-17,1637,1367,3503
2020-04-18,1298,1150,2640
2020-04-19,1039,909,1388
2020-04-20,1898,1620,3006
2020-04-21,1189,1017,3077
2020-04-22,1226,1047,2606
2020-04-23,1246,960,2813
2020-04-24,1116,842,2739
2020-04-25,884,743,1667
2020-04-26,675,590,1018
2020-04-27,1122,916,1981
2020-04-28,867,661,2241
2020-04-29,923,626,2328
2020-04-30,865,570,2269
2020-05-01,699,562,1086
2020-05-02,508,415,1021
2020-05-03,411,330,506
2020-05-04,652,453,1457
2020-05-05,626,469,1537
2020-05-06,565,392,1442
2020-05-07,495,368,1389
2020-05-08,521,417,1379
2020-05-09,300,226,731
2020-05-10,334,270,337
2020-05-11,437,327,872
2020-05-12,445,327,915
2020-05-13,386,291,890
2020-05-14,334,250,902
2020-05-15,342,285,791
2020-05-16,241,194,606
2020-05-17,188,158,298
2020-05-18,305,256,655
2020-05-19,252,206,720
2020-05-20,292,232,674
2020-05-21,226,169,622
2020-05-22,192,155,685
2020-05-23,140,123,356
2020-05-24,103,89,147
2020-05-25,233,188,513
2020-05-26,183,150,541
2020-05-27,212,163,524
2020-05-28,173,127,516
2020-05-29,142,117,387
2020-05-30,121,96,285
2020-05-31,67,62,89
2020-06-01,172,137,377
2020-06-02,66,59,87
2020-06-03,137,115,358
2020-06-04,128,94,361
2020-06-05,165,117,385
2020-06-06,98,79,203
2020-06-07,74,65,84
2020-06-08,135,116,300
2020-06-09,125,103,368
2020-06-10,115,100,394
2020-06-11,109,87,449
2020-06-12,125,104,369
2020-06-13,73,65,215
2020-06-14,82,73,68
2020-06-15,120,101,276
2020-06-16,107,92,280
2020-06-17,97,78,302
2020-06-18,96,79,233
2020-06-19,89,73,291
2020-06-20,69,64,165
2020-06-21,66,60,62
2020-06-22,90,80,338
2020-06-23,79,71,288
2020-06-24,99,91,206
2020-06-25,91,76,202
2020-06-26,108,89,184
2020-06-27,77,61,124
2020-06-28,60,54,66
2020-06-29,101,87,230
2020-06-30,72,66,199
2020-07-01,117,106,235
2020-07-02,89,76,247
2020-07-03,74,66,241
2020-07-04,82,67,222
2020-07-05,67,60,76
2020-07-06,102,93,235
2020-07-07,107,97,223
2020-07-08,104,98,285
2020-07-09,84,80,220
2020-07-10,117,107,249
2020-07-11,83,81,163
2020-07-12,79,73,62
2020-07-13,108,98,186
2020-07-14,116,108,238
2020-07-15,101,97,238
2020-07-16,96,87,256
2020-07-17,104,100,284
2020-07-18,96,92,167
2020-07-19,92,88,110
2020-07-20,143,134,317
2020-07-21,129,119,279
2020-07-22,121,115,276
2020-07-23,141,130,269
2020-07-24,118,111,305
2020-07-25,132,126,194
2020-07-26,101,98,92
2020-07-27,138,129,324
2020-07-28,142,134,317
2020-07-29,138,130,470
2020-07-30,125,117,388
2020-07-31,126,116,321
2020-08-01,160,155,203
2020-08-02,127,120,105
2020-08-03,223,205,420
2020-08-04,198,184,393
2020-08-05,220,209,507
2020-08-06,210,202,398
2020-08-07,215,194,497
2020-08-08,263,243,343
2020-08-09,209,203,195
2020-08-10,296,270,502
2020-08-11,276,253,537
2020-08-12,282,263,626
2020-08-13,315,286,550
2020-08-14,308,290,631
2020-08-15,356,339,323
2020-08-16,372,348,298
2020-08-17,575,552,705
2020-08-18,632,592,926
2020-08-19,584,551,1076
2020-08-20,592,546,1167
2020-08-21,638,597,1423
2020-08-22,598,566,1057
2020-08-23,613,589,722
2020-08-24,699,658,1682
2020-08-25,648,609,1594
2020-08-26,635,585,1546
2020-08-27,588,546,1524
2020-08-28,594,547,1471
2020-08-29,448,431,1077
2020-08-30,446,416,578
2020-08-31,588,542,1438
2020-09-01,750,707,1427
2020-09-02,645,601,1632
2020-09-03,593,564,1607
2020-09-04,653,624,1655
2020-09-05,556,532,1159
2020-09-06,536,508,561
2020-09-07,823,782,1569
2020-09-08,694,641,1621
2020-09-09,691,660,1643
2020-09-10,777,722,1668
2020-09-11,671,621,1623
2020-09-12,661,633,1232
2020-09-13,621,590,598
2020-09-14,905,845,1675
2020-09-15,921,865,1832
2020-09-16,842,788,1616
2020-09-17,859,807,1756
2020-09-18,873,811,1927
2020-09-19,853,807,1335
2020-09-20,836,792,658
2020-09-21,989,913,1986
2020-09-22,963,894,1946
2020-09-23,906,844,2056
2020-09-24,869,806,2013
2020-09-25,1005,937,2110
2020-09-26,969,896,1505
2020-09-27,1015,942,907
2020-09-28,1381,1281,2281
2020-09-29,1296,1196,2328
2020-09-30,1714,1583,2620
2020-10-01,2342,2116,3061
2020-10-02,2266,2040,3336
2020-10-03,2374,2180,2620
2020-10-04,2355,2171,1759
2020-10-05,3363,3029,4729
2020-10-06,3183,2829,4959
2020-10-07,3718,3321,5485
2020-10-08,4046,3588,6203
2020-10-09,4532,3919,6984
2020-10-10,5001,4421,6070
2020-10-11,4378,3811,3427
2020-10-12,7033,5834,9605
2020-10-13,6721,5533,10470
2020-10-14,7428,5999,11502
2020-10-15,8299,6723,12213
2020-10-16,9383,7428,13819
2020-10-17,9128,7336,11919
2020-10-18,9215,7499,6417
2020-10-19,12968,9982,17651
2020-10-20,13984,10815,19757
2020-10-21,13321,10180,22822
2020-10-22,13447,10369,24235
2020-10-23,15205,11274,26173
2020-10-24,13886,10823,20263
2020-10-25,14104,11155,11344
2020-10-26,19360,14122,28762
2020-10-27,17143,12773,31805
2020-10-28,18163,13669,34234
2020-10-29,18394,12849,33349
2020-10-30,17896,13583,35569
2020-10-31,14649,11373,25826
2020-11-01,17667,14098,13854
2020-11-02,20848,16261,35400
2020-11-03,17405,13950,38388
2020-11-04,19769,14535,41670
2020-11-05,17876,14264,40638
2020-11-06,18252,14762,42005
2020-11-07,16741,13218,30401
2020-11-08,15590,12251,15645
2020-11-09,18957,15584,39322
2020-11-10,18318,14927,40841
2020-11-11,15948,13071,39738
2020-11-12,15972,12893,39268
2020-11-13,16499,13406,40087
2020-11-14,15679,12132,29140
2020-11-15,13837,11371,14581
2020-11-16,16332,13149,36683
2020-11-17,13113,10912,38476
2020-11-18,13975,11271,37035
2020-11-19,12230,9348,35467
2020-11-20,12991,10758,32886
2020-11-21,10451,8219,22849
2020-11-22,8875,7417,10854
2020-11-23,11455,9774,28492
2020-11-24,10355,8403,28876
2020-11-25,10075,8623,27488
2020-11-26,9541,7940,26597
2020-11-27,9343,8214,24474
2020-11-28,8913,7662,18228
2020-11-29,6965,6020,8251
2020-11-30,9910,8889,22565
2020-12-01,10489,9358,23233
2020-12-02,9130,8175,21653
2020-12-03,8373,7608,20251
2020-12-04,8927,7972,20504
2020-12-05,7626,7011,15431
2020-12-06,6406,5935,6331
2020-12-07,8761,7938,19568
2020-12-08,7122,6874,7736
2020-12-09,8240,7741,20163
2020-12-10,8328,7828,20708
2020-12-11,7524,7111,19821
2020-12-12,7281,6997,14334
2020-12-13,6408,6167,5771
2020-12-14,8886,8410,18181
2020-12-15,8108,7593,18579
2020-12-16,7817,7369,17008
2020-12-17,7381,6907,16576
2020-12-18,7846,7300,17023
2020-12-19,7092,6724,12977
2020-12-20,7624,7324,6454
2020-12-21,8608,8171,17348
2020-12-22,8453,8017,19662
2020-12-23,8690,8166,19169
2020-12-24,8790,8360,15966
2020-12-25,7609,7353,4586
2020-12-26,8401,8087,7970
2020-12-27,9075,8674,7727
2020-12-28,11329,10773,19200
2020-12-29,9794,9021,24189
2020-12-30,9646,8927,23949
2020-12-31,9165,8460,19223
2021-01-01,9325,8981,5650
2021-01-02,9058,8605,15643
2021-01-03,8551,8196,8370
2021-01-04,10936,10263,22917
2021-01-05,9878,9024,24848
2021-01-06,7792,7437,9140
2021-01-07,8051,7683,21521
2021-01-08,7682,7320,21158
2021-01-09,6831,6531,15599
2021-01-10,6548,6291,6898
2021-01-11,7519,7155,17067
2021-01-12,6707,6295,16492
2021-01-13,6307,5889,15481
2021-01-14,6132,5769,14683
2021-01-15,6344,5986,14374
2021-01-16,5740,5472,10922
2021-01-17,5283,5062,5007
2021-01-18,6906,6531,14566
2021-01-19,6294,5974,14589
2021-01-20,6775,6395,13789
2021-01-21,5906,5653,12923
2021-01-22,6305,6046,13759
2021-01-23,6204,5946,10531
2021-01-24,5660,5465,4875
2021-01-25,7053,6744,14351
2021-01-26,6143,5843,14641
2021-01-27,6117,5816,13377
2021-01-28,6002,5723,12255
2021-01-29,5819,5556,12988
2021-01-30,5647,5414,10266
2021-01-31,5170,4990,4785
2021-02-01,7922,7573,13436
2021-02-02,6593,6300,13968
2021-02-03,6563,6265,13375
2021-02-04,6299,6024,13320
2021-02-05,6495,6237,13638
2021-02-06,6416,6188,10778
2021-02-07,5864,5658,4828
2021-02-08,7343,7020,13906
2021-02-09,6498,6226,14663
2021-02-10,7085,6809,13911
2021-02-11,6147,5900,13449
2021-02-12,6357,6087,13143
2021-02-13,6016,5743,9847
2021-02-14,5955,5781,4393
2021-02-15,7979,7689,13017
2021-02-16,7551,7218,14108
2021-02-17,8305,7924,14108
2021-02-18,8436,8101,14649
2021-02-19,8590,8216,15475
2021-02-20,9278,8894,12669
2021-02-21,8479,8240,5787
2021-02-22,11314,10863,18017
2021-02-23,10353,9826,19907
2021-02-24,10568,10070,19947
2021-02-25,10162,9627,19568
2021-02-26,10756,10175,20992
2021-02-27,10168,9714,16012
2021-02-28,9529,9255,7087
2021-03-01,14995,14314,22041
2021-03-02,12597,11932,23197
2021-03-03,12657,11985,23999
2021-03-04,12184,11578,22852
2021-03-05,13228,12527,24333
2021-03-06,12365,11822,18171
2021-03-07,11577,11288,8044
2021-03-08,15382,14650,23988
2021-03-09,12990,12274,26034
2021-03-10,14600,13778,25794
2021-03-11,12677,12034,25780
2021-03-12,13311,12649,25391
2021-03-13,12172,11618,20104
2021-03-14,11534,11197,8945
2021-03-15,14990,14276,24449
2021-03-16,12666,11937,25980
2021-03-17,12710,12028,24877
2021-03-18,12150,11517,24082
2021-03-19,12158,11616,23622
2021-03-20,12095,11586,17916
2021-03-21,10693,10369,8436
2021-03-22,13952,13272,23356
2021-03-23,12270,11669,24571
2021-03-24,11848,11260,24254
2021-03-25,11830,11196,23327
2021-03-26,11213,10729,23470
2021-03-27,10127,9665,17368
2021-03-28,9462,9188,8204
2021-03-29,11852,11339,22408
2021-03-30,10335,9886,23437
2021-03-31,9083,8643,22243
2021-04-01,10047,9603,21663
2021-04-02,8790,8460,20501
2021-04-03,7444,7140,15548
2021-04-04,6659,6504,5658
2021-04-05,7661,7434,7245
2021-04-06,8633,8278,18506
2021-04-07,8604,8245,19222
2021-04-08,8347,7992,17692
2021-04-09,7546,7260,17307
2021-04-10,7719,7460,14036
2021-04-11,6891,6728,6735
2021-04-12,8681,8388,16837
2021-04-13,7650,7363,17322
2021-04-14,7346,7097,16338
2021-04-15,7113,6867,14989
2021-04-16,7063,6877,15107
2021-04-17,6331,6151,11439
2021-04-18,6597,6451,5793
2021-04-19,7889,7624,14742
2021-04-20,7499,7252,15666
2021-04-21,7275,7041,14808
2021-04-22,6999,6770,14260
2021-04-23,6897,6715,14511
2021-04-24,6296,6169,12044
2021-04-25,5947,5825,5260
2021-04-26,7100,6873,13667
2021-04-27,6204,6013,14426
2021-04-28,5925,5725,13762
2021-04-29,5242,5069,12430
2021-04-30,4899,4766,12927
2021-05-01,5105,5016,6119
2021-05-02,4317,4238,4629
2021-05-03,5422,5253,11478
2021-05-04,4714,4583,11401
2021-05-05,4715,4594,10795
2021-05-06,4112,3962,9518
2021-05-07,3901,3790,9524
2021-05-08,3434,3352,7411
2021-05-09,3274,3203,3599
2021-05-10,3998,3876,8132
2021-05-11,3296,3202,8280
2021-05-12,3125,3048,7507
2021-05-13,2864,2781,6698
2021-05-14,2577,2507,6557
2021-05-15,2400,2345,5038
2021-05-16,2160,2122,2161
2021-05-17,2507,2424,5494
2021-05-18,2360,2279,5810
2021-05-19,2162,2084,5094
2021-05-20,1986,1920,4406
2021-05-21,1786,1743,4515
2021-05-22,1574,1542,3628
2021-05-23,1588,1552,1478
2021-05-24,1881,1830,3969
2021-05-25,1605,1562,4034
2021-05-26,1580,1538,3685
2021-05-27,1458,1417,3410
2021-05-28,1383,1355,3412
2021-05-29,1160,1139,2709
2021-05-30,1133,1111,1191
2021-05-31,1222,1193,2985
2021-06-01,1250,1221,3170
2021-06-02,1138,1118,1267
2021-06-03,1133,1088,2762
2021-06-04,1079,1066,2999
2021-06-05,931,912,2106
2021-06-06,787,768,977
2021-06-07,933,904,2208
2021-06-08,778,760,2152
2021-06-09,778,762,1845
2021-06-10,756,738,1800
2021-06-11,587,567,1819
2021-06-12,541,534,1174
2021-06-13,542,530,564
2021-06-14,646,623,1466
2021-06-15,479,468,1326
2021-06-16,522,513,1224
2021-06-17,446,436,1121
2021-06-18,396,387,1081
2021-06-19,336,328,819
2021-06-20,364,358,363
2021-06-21,393,382,949
2021-06-22,409,397,941
2021-06-23,388,383,804
2021-06-24,361,353,798
2021-06-25,351,344,847
2021-06-26,319,311,650
2021-06-27,378,369,274
2021-06-28,460,447,830
2021-06-29,484,476,800
2021-06-30,552,544,871
2021-07-01,636,618,910
2021-07-02,563,558,987
2021-07-03,576,566,829
2021-07-04,627,621,400
2021-07-05,794,780,1132
2021-07-06,811,797,1381
2021-07-07,873,863,1219
2021-07-08,903,891,1393
2021-07-09,1092,1081,1491
2021-07-10,1176,1160,1402
2021-07-11,1228,1216,791
2021-07-12,1703,1676,1999
2021-07-13,1875,1850,2608
2021-07-14,2295,2264,2617
2021-07-15,2365,2325,3195
2021-07-16,2260,2221,3702
2021-07-17,2269,2222,2975
2021-07-18,2570,2523,1754
2021-07-19,2950,2875,4238
2021-07-20,3220,3150,5064
2021-07-21,3199,3144,5108
2021-07-22,3009,2937,4951
2021-07-23,2943,2872,5437
2021-07-24,2899,2839,4247
2021-07-25,3180,3120,2202
2021-07-26,3803,3716,6320
2021-07-27,3787,3724,6407
2021-07-28,3642,3556,6151
2021-07-29,3313,3245,5938
2021-07-30,3293,3215,6199
2021-07-31,3057,2980,4960
2021-08-01,3593,3523,2391
2021-08-02,4190,4089,6639
2021-08-03,4085,3990,7121
2021-08-04,4011,3933,7145
2021-08-05,3745,3674,6404
2021-08-06,3603,3528,7110
2021-08-07,3353,3298,5098
2021-08-08,3380,3315,3011
2021-08-09,4200,4118,7040
2021-08-10,4243,4166,7475
2021-08-11,3755,3669,7004
2021-08-12,3666,3573,7126
2021-08-13,3542,3452,6975
2021-08-14,3363,3281,5160
2021-08-15,3403,3344,2355
2021-08-16,4344,4255,6718
2021-08-17,4264,4170,7718
2021-08-18,4284,4185,7364
2021-08-19,3869,3782,7154
2021-08-20,3775,3677,7509
2021-08-21,3493,3407,5726
2021-08-22,3562,3502,3118
2021-08-23,4249,4137,7836
2021-08-24,3768,3656,7927
2021-08-25,3727,3625,7743
2021-08-26,3275,3154,7001
2021-08-27,3205,3132,7027
2021-08-28,3020,2951,5600
2021-08-29,2901,2840,2907
2021-08-30,3564,3482,6856
2021-08-31,3112,3025,7068
2021-09-01,3631,3530,6608
2021-09-02,2983,2910,6178
2021-09-03,2938,2849,6252
2021-09-04,2712,2628,4637
2021-09-05,2646,2584,2374
2021-09-06,3067,2981,5789
2021-09-07,2853,2733,5997
2021-09-08,2721,2625,5409
2021-09-09,2528,2441,4963
2021-09-10,2512,2421,5091
2021-09-11,2172,2099,3933
2021-09-12,2179,2140,1831
2021-09-13,2652,2596,4924
2021-09-14,2456,2403,5191
2021-09-15,2409,2367,4851
2021-09-16,2178,2123,4289
2021-09-17,2161,2109,4446
2021-09-18,1950,1914,3479
2021-09-19,1853,1821,1704
2021-09-20,2160,2109,4252
2021-09-21,1990,1941,4139
2021-09-22,1988,1948,3866
2021-09-23,1899,1856,3544
2021-09-24,1923,1866,3606
2021-09-25,1672,1632,2909
2021-09-26,1685,1629,1322
2021-09-27,2158,2067,3519
2021-09-28,1952,1804,3670
2021-09-29,1812,1697,3459
2021-09-30,1681,1564,3313
2021-10-01,1846,1733,3149
2021-10-02,1596,1503,2698
2021-10-03,1490,1418,1070
2021-10-04,1922,1795,3117
2021-10-05,1715,1620,3199
2021-10-06,1652,1540,2910
2021-10-07,1462,1372,2797
2021-10-08,1517,1424,2696
2021-10-09,1376,1301,2108
2021-10-10,1604,1555,1216
2021-10-11,1875,1784,3023
2021-10-12,1664,1591,2826
2021-10-13,1834,1777,2698
2021-10-14,1784,1731,2761
2021-10-15,1815,1759,2966
2021-10-16,1791,1745,2383
2021-10-17,1932,1887,1206
2021-10-18,2580,2526,3739
2021-10-19,2456,2403,3922
2021-10-20,2538,2476,3948
2021-10-21,2560,2513,4043
2021-10-22,2674,2629,4525
2021-10-23,2599,2555,3625
2021-10-24,2557,2514,1606
2021-10-25,3194,3152,4911
2021-10-26,2889,2845,5122
2021-10-27,3083,3034,5219
2021-10-28,3026,2981,5078
2021-10-29,2838,2792,5067
2021-10-30,2965,2929,4560
2021-10-31,2675,2631,2204
2021-11-01,3813,3759,2868
2021-11-02,4127,4071,6473
2021-11-03,4459,4405,6644
2021-11-04,4259,4196,7186
2021-11-05,4321,4254,7314
2021-11-06,3868,3812,5797
