OBJECTID,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
1,20200220,3,3,LOMBARDIA,1
2,20200221,31,34,LOMBARDIA,2
3,20200222,32,66,LOMBARDIA,3
4,20200223,47,113,LOMBARDIA,4
5,20200224,60,173,LOMBARDIA,5
6,20200225,97,270,LOMBARDIA,6
7,20200226,118,388,LOMBARDIA,7
8,20200227,147,535,LOMBARDIA,8
9,20200228,206,741,LOMBARDIA,9
10,20200229,250,991,LOMBARDIA,10
11,20200301,284,1275,LOMBARDIA,11
12,20200302,399,1674,LOMBARDIA,12
13,20200303,478,2152,LOMBARDIA,13
14,20200304,630,2782,LOMBARDIA,14
15,20200305,794,3576,LOMBARDIA,15
16,20200306,907,4483,LOMBARDIA,16
17,20200307,703,5186,LOMBARDIA,17
18,20200308,775,5961,LOMBARDIA,18
19,20200309,1220,7181,LOMBARDIA,19
20,20200310,1357,8538,LOMBARDIA,20
21,20200311,1337,9875,LOMBARDIA,21
22,20200312,1365,11240,LOMBARDIA,22
23,20200313,1726,12966,LOMBARDIA,23
24,20200314,1378,14344,LOMBARDIA,24
25,20200315,1196,15540,LOMBARDIA,25
26,20200316,2135,17675,LOMBARDIA,26
27,20200317,2090,19765,LOMBARDIA,27
28,20200318,2162,21927,LOMBARDIA,28
29,20200319,2232,24159,LOMBARDIA,29
30,20200320,2226,26385,LOMBARDIA,30
31,20200321,1411,27796,LOMBARDIA,31
32,20200322,1162,28958,LOMBARDIA,32
33,20200323,2193,31151,LOMBARDIA,33
34,20200324,2163,33314,LOMBARDIA,34
35,20200325,2053,35367,LOMBARDIA,35
36,20200326,2059,37426,LOMBARDIA,36
37,20200327,1997,39423,LOMBARDIA,37
38,20200328,1366,40789,LOMBARDIA,38
39,20200329,759,41548,LOMBARDIA,39
40,20200330,1763,43311,LOMBARDIA,40
41,20200331,1546,44857,LOMBARDIA,41
42,20200401,1814,46671,LOMBARDIA,42
43,20200402,1627,48298,LOMBARDIA,43
