iss_date,DATA_INIZIO_SINTOMI,CASI
09/12/2020,28/01/2020,10
09/12/2020,29/01/2020,16
09/12/2020,30/01/2020,18
09/12/2020,31/01/2020,17
09/12/2020,01/02/2020,50
09/12/2020,02/02/2020,35
09/12/2020,03/02/2020,23
09/12/2020,04/02/2020,22
09/12/2020,05/02/2020,30
09/12/2020,06/02/2020,25
09/12/2020,07/02/2020,18
09/12/2020,08/02/2020,14
09/12/2020,09/02/2020,16
09/12/2020,10/02/2020,62
09/12/2020,11/02/2020,27
09/12/2020,12/02/2020,48
09/12/2020,13/02/2020,49
09/12/2020,14/02/2020,65
09/12/2020,15/02/2020,145
09/12/2020,16/02/2020,81
09/12/2020,17/02/2020,138
09/12/2020,18/02/2020,164
09/12/2020,19/02/2020,139
09/12/2020,20/02/2020,403
09/12/2020,21/02/2020,312
09/12/2020,22/02/2020,387
09/12/2020,23/02/2020,509
09/12/2020,24/02/2020,675
09/12/2020,25/02/2020,817
09/12/2020,26/02/2020,738
09/12/2020,27/02/2020,886
09/12/2020,28/02/2020,1206
09/12/2020,29/02/2020,1079
09/12/2020,01/03/2020,2472
09/12/2020,02/03/2020,1946
09/12/2020,03/03/2020,2250
09/12/2020,04/03/2020,1944
09/12/2020,05/03/2020,2631
09/12/2020,06/03/2020,2966
09/12/2020,07/03/2020,3127
09/12/2020,08/03/2020,3661
09/12/2020,09/03/2020,4422
09/12/2020,10/03/2020,6127
09/12/2020,11/03/2020,4200
09/12/2020,12/03/2020,4749
09/12/2020,13/03/2020,5339
09/12/2020,14/03/2020,4695
09/12/2020,15/03/2020,5871
09/12/2020,16/03/2020,5311
09/12/2020,17/03/2020,4508
09/12/2020,18/03/2020,4807
09/12/2020,19/03/2020,4256
09/12/2020,20/03/2020,6119
09/12/2020,21/03/2020,3813
09/12/2020,22/03/2020,3748
09/12/2020,23/03/2020,4376
09/12/2020,24/03/2020,3552
09/12/2020,25/03/2020,3821
09/12/2020,26/03/2020,3291
09/12/2020,27/03/2020,3536
09/12/2020,28/03/2020,3130
09/12/2020,29/03/2020,2373
09/12/2020,30/03/2020,3635
09/12/2020,31/03/2020,2583
09/12/2020,01/04/2020,4070
09/12/2020,02/04/2020,2648
09/12/2020,03/04/2020,2691
09/12/2020,04/04/2020,2291
09/12/2020,05/04/2020,2026
09/12/2020,06/04/2020,2447
09/12/2020,07/04/2020,2215
09/12/2020,08/04/2020,2104
09/12/2020,09/04/2020,1995
09/12/2020,10/04/2020,2696
09/12/2020,11/04/2020,1581
09/12/2020,12/04/2020,1621
09/12/2020,13/04/2020,1482
09/12/2020,14/04/2020,1795
09/12/2020,15/04/2020,2110
09/12/2020,16/04/2020,1602
09/12/2020,17/04/2020,1564
09/12/2020,18/04/2020,1252
09/12/2020,19/04/2020,972
09/12/2020,20/04/2020,1855
09/12/2020,21/04/2020,1160
09/12/2020,22/04/2020,1181
09/12/2020,23/04/2020,1199
09/12/2020,24/04/2020,1074
09/12/2020,25/04/2020,856
09/12/2020,26/04/2020,644
09/12/2020,27/04/2020,1086
09/12/2020,28/04/2020,837
09/12/2020,29/04/2020,889
09/12/2020,30/04/2020,836
09/12/2020,01/05/2020,662
09/12/2020,02/05/2020,471
09/12/2020,03/05/2020,377
09/12/2020,04/05/2020,606
09/12/2020,05/05/2020,605
09/12/2020,06/05/2020,528
09/12/2020,07/05/2020,479
09/12/2020,08/05/2020,483
09/12/2020,09/05/2020,266
09/12/2020,10/05/2020,329
09/12/2020,11/05/2020,380
09/12/2020,12/05/2020,429
09/12/2020,13/05/2020,361
09/12/2020,14/05/2020,311
09/12/2020,15/05/2020,311
09/12/2020,16/05/2020,221
09/12/2020,17/05/2020,172
09/12/2020,18/05/2020,295
09/12/2020,19/05/2020,236
09/12/2020,20/05/2020,272
09/12/2020,21/05/2020,193
09/12/2020,22/05/2020,172
09/12/2020,23/05/2020,122
09/12/2020,24/05/2020,79
09/12/2020,25/05/2020,203
09/12/2020,26/05/2020,169
09/12/2020,27/05/2020,191
09/12/2020,28/05/2020,145
09/12/2020,29/05/2020,134
09/12/2020,30/05/2020,113
09/12/2020,31/05/2020,59
09/12/2020,01/06/2020,167
09/12/2020,02/06/2020,63
09/12/2020,03/06/2020,129
09/12/2020,04/06/2020,115
09/12/2020,05/06/2020,139
09/12/2020,06/06/2020,87
09/12/2020,07/06/2020,64
09/12/2020,08/06/2020,127
09/12/2020,09/06/2020,114
09/12/2020,10/06/2020,115
09/12/2020,11/06/2020,92
09/12/2020,12/06/2020,114
09/12/2020,13/06/2020,66
09/12/2020,14/06/2020,75
09/12/2020,15/06/2020,104
09/12/2020,16/06/2020,93
09/12/2020,17/06/2020,88
09/12/2020,18/06/2020,89
09/12/2020,19/06/2020,82
09/12/2020,20/06/2020,59
09/12/2020,21/06/2020,57
09/12/2020,22/06/2020,87
09/12/2020,23/06/2020,71
09/12/2020,24/06/2020,87
09/12/2020,25/06/2020,83
09/12/2020,26/06/2020,94
09/12/2020,27/06/2020,75
09/12/2020,28/06/2020,50
09/12/2020,29/06/2020,98
09/12/2020,30/06/2020,65
09/12/2020,01/07/2020,113
09/12/2020,02/07/2020,86
09/12/2020,03/07/2020,72
09/12/2020,04/07/2020,79
09/12/2020,05/07/2020,66
09/12/2020,06/07/2020,97
09/12/2020,07/07/2020,98
09/12/2020,08/07/2020,102
09/12/2020,09/07/2020,83
09/12/2020,10/07/2020,110
09/12/2020,11/07/2020,76
09/12/2020,12/07/2020,72
09/12/2020,13/07/2020,102
09/12/2020,14/07/2020,116
09/12/2020,15/07/2020,98
09/12/2020,16/07/2020,85
09/12/2020,17/07/2020,103
09/12/2020,18/07/2020,91
09/12/2020,19/07/2020,87
09/12/2020,20/07/2020,137
09/12/2020,21/07/2020,120
09/12/2020,22/07/2020,114
09/12/2020,23/07/2020,130
09/12/2020,24/07/2020,114
09/12/2020,25/07/2020,131
09/12/2020,26/07/2020,93
09/12/2020,27/07/2020,133
09/12/2020,28/07/2020,132
09/12/2020,29/07/2020,130
09/12/2020,30/07/2020,120
09/12/2020,31/07/2020,126
09/12/2020,01/08/2020,157
09/12/2020,02/08/2020,120
09/12/2020,03/08/2020,208
09/12/2020,04/08/2020,190
09/12/2020,05/08/2020,206
09/12/2020,06/08/2020,215
09/12/2020,07/08/2020,208
09/12/2020,08/08/2020,250
09/12/2020,09/08/2020,209
09/12/2020,10/08/2020,292
09/12/2020,11/08/2020,269
09/12/2020,12/08/2020,279
09/12/2020,13/08/2020,304
09/12/2020,14/08/2020,308
09/12/2020,15/08/2020,347
09/12/2020,16/08/2020,362
09/12/2020,17/08/2020,562
09/12/2020,18/08/2020,626
09/12/2020,19/08/2020,567
09/12/2020,20/08/2020,580
09/12/2020,21/08/2020,612
09/12/2020,22/08/2020,573
09/12/2020,23/08/2020,587
09/12/2020,24/08/2020,669
09/12/2020,25/08/2020,624
09/12/2020,26/08/2020,624
09/12/2020,27/08/2020,577
09/12/2020,28/08/2020,583
09/12/2020,29/08/2020,428
09/12/2020,30/08/2020,423
09/12/2020,31/08/2020,551
09/12/2020,01/09/2020,726
09/12/2020,02/09/2020,632
09/12/2020,03/09/2020,574
09/12/2020,04/09/2020,641
09/12/2020,05/09/2020,540
09/12/2020,06/09/2020,512
09/12/2020,07/09/2020,797
09/12/2020,08/09/2020,673
09/12/2020,09/09/2020,665
09/12/2020,10/09/2020,759
09/12/2020,11/09/2020,648
09/12/2020,12/09/2020,634
09/12/2020,13/09/2020,580
09/12/2020,14/09/2020,869
09/12/2020,15/09/2020,860
09/12/2020,16/09/2020,804
09/12/2020,17/09/2020,814
09/12/2020,18/09/2020,841
09/12/2020,19/09/2020,815
09/12/2020,20/09/2020,814
09/12/2020,21/09/2020,937
09/12/2020,22/09/2020,936
09/12/2020,23/09/2020,852
09/12/2020,24/09/2020,842
09/12/2020,25/09/2020,955
09/12/2020,26/09/2020,920
09/12/2020,27/09/2020,954
09/12/2020,28/09/2020,1317
09/12/2020,29/09/2020,1279
09/12/2020,30/09/2020,1692
09/12/2020,01/10/2020,2284
09/12/2020,02/10/2020,2247
09/12/2020,03/10/2020,2321
09/12/2020,04/10/2020,2288
09/12/2020,05/10/2020,3302
09/12/2020,06/10/2020,3100
09/12/2020,07/10/2020,3646
09/12/2020,08/10/2020,3965
09/12/2020,09/10/2020,4430
09/12/2020,10/10/2020,4870
09/12/2020,11/10/2020,4253
09/12/2020,12/10/2020,6877
09/12/2020,13/10/2020,6447
09/12/2020,14/10/2020,7098
09/12/2020,15/10/2020,7917
09/12/2020,16/10/2020,9013
09/12/2020,17/10/2020,8695
09/12/2020,18/10/2020,8800
09/12/2020,19/10/2020,12534
09/12/2020,20/10/2020,13184
09/12/2020,21/10/2020,12740
09/12/2020,22/10/2020,12718
09/12/2020,23/10/2020,14212
09/12/2020,24/10/2020,13266
09/12/2020,25/10/2020,13281
09/12/2020,26/10/2020,17898
09/12/2020,27/10/2020,15889
09/12/2020,28/10/2020,16716
09/12/2020,29/10/2020,17197
09/12/2020,30/10/2020,16728
09/12/2020,31/10/2020,13784
09/12/2020,01/11/2020,16700
09/12/2020,02/11/2020,19652
09/12/2020,03/11/2020,16266
09/12/2020,04/11/2020,17602
09/12/2020,05/11/2020,16431
09/12/2020,06/11/2020,17267
09/12/2020,07/11/2020,16025
09/12/2020,08/11/2020,13567
09/12/2020,09/11/2020,17885
09/12/2020,10/11/2020,17013
09/12/2020,11/11/2020,14818
09/12/2020,12/11/2020,14325
09/12/2020,13/11/2020,15576
09/12/2020,14/11/2020,13636
09/12/2020,15/11/2020,13301
09/12/2020,16/11/2020,14239
09/12/2020,17/11/2020,11549
09/12/2020,18/11/2020,12586
09/12/2020,19/11/2020,9854
09/12/2020,20/11/2020,11349
09/12/2020,21/11/2020,8869
09/12/2020,22/11/2020,7409
09/12/2020,23/11/2020,9913
09/12/2020,24/11/2020,8272
09/12/2020,25/11/2020,8094
09/12/2020,26/11/2020,7751
09/12/2020,27/11/2020,7528
09/12/2020,28/11/2020,7159
09/12/2020,29/11/2020,4610
09/12/2020,30/11/2020,6523
09/12/2020,01/12/2020,6027
09/12/2020,02/12/2020,4813
09/12/2020,03/12/2020,3559
09/12/2020,04/12/2020,2457
09/12/2020,05/12/2020,1487
09/12/2020,06/12/2020,849
09/12/2020,07/12/2020,509
09/12/2020,08/12/2020,138
09/12/2020,09/12/2020,30
09/12/2020,,846384
