OBJECTID,DATA_RICEVIMENTO_TAMPONE,NUM_TAMP,INCREMENTO,REGIONE,ObjectId2
1,20200220,3,3,LOMBARDIA,1
2,20200221,30,33,LOMBARDIA,2
3,20200222,32,65,LOMBARDIA,3
4,20200223,47,112,LOMBARDIA,4
5,20200224,60,172,LOMBARDIA,5
6,20200225,96,268,LOMBARDIA,6
7,20200226,117,385,LOMBARDIA,7
8,20200227,147,532,LOMBARDIA,8
9,20200228,204,736,LOMBARDIA,9
10,20200229,250,986,LOMBARDIA,10
11,20200301,284,1270,LOMBARDIA,11
12,20200302,396,1666,LOMBARDIA,12
13,20200303,477,2143,LOMBARDIA,13
14,20200304,629,2772,LOMBARDIA,14
15,20200305,791,3563,LOMBARDIA,15
16,20200306,904,4467,LOMBARDIA,16
17,20200307,701,5168,LOMBARDIA,17
18,20200308,771,5939,LOMBARDIA,18
19,20200309,1215,7154,LOMBARDIA,19
20,20200310,1353,8507,LOMBARDIA,20
21,20200311,1335,9842,LOMBARDIA,21
22,20200312,1361,11203,LOMBARDIA,22
23,20200313,1721,12924,LOMBARDIA,23
24,20200314,1374,14298,LOMBARDIA,24
25,20200315,1194,15492,LOMBARDIA,25
26,20200316,2133,17625,LOMBARDIA,26
27,20200317,2086,19711,LOMBARDIA,27
28,20200318,2161,21872,LOMBARDIA,28
29,20200319,2231,24103,LOMBARDIA,29
30,20200320,2225,26328,LOMBARDIA,30
31,20200321,1409,27737,LOMBARDIA,31
32,20200322,1163,28900,LOMBARDIA,32
33,20200323,2191,31091,LOMBARDIA,33
34,20200324,2157,33248,LOMBARDIA,34
35,20200325,2053,35301,LOMBARDIA,35
36,20200326,2053,37354,LOMBARDIA,36
37,20200327,1993,39347,LOMBARDIA,37
38,20200328,1363,40710,LOMBARDIA,38
39,20200329,756,41466,LOMBARDIA,39
40,20200330,1760,43226,LOMBARDIA,40
41,20200331,1541,44767,LOMBARDIA,41
42,20200401,1812,46579,LOMBARDIA,42
43,20200402,1625,48204,LOMBARDIA,43
44,20200403,1618,49822,LOMBARDIA,44
45,20200404,1081,50903,LOMBARDIA,45
46,20200405,640,51543,LOMBARDIA,46
47,20200406,1569,53112,LOMBARDIA,47
48,20200407,1489,54601,LOMBARDIA,48
49,20200408,1500,56101,LOMBARDIA,49
50,20200409,1928,58029,LOMBARDIA,50
51,20200410,2051,60080,LOMBARDIA,51
52,20200411,1136,61216,LOMBARDIA,52
53,20200412,553,61769,LOMBARDIA,53
54,20200413,568,62337,LOMBARDIA,54
55,20200414,1150,63487,LOMBARDIA,55
56,20200415,1382,64869,LOMBARDIA,56
169,20200806,84,96678,LOMBARDIA,57
170,20200807,81,96759,LOMBARDIA,58
171,20200808,59,96818,LOMBARDIA,59
172,20200809,21,96839,LOMBARDIA,60
173,20200810,99,96938,LOMBARDIA,61
174,20200811,96,97034,LOMBARDIA,62
175,20200812,95,97129,LOMBARDIA,63
176,20200813,98,97227,LOMBARDIA,64
177,20200814,104,97331,LOMBARDIA,65
178,20200815,18,97349,LOMBARDIA,66
179,20200816,19,97368,LOMBARDIA,67
180,20200817,147,97515,LOMBARDIA,68
181,20200818,150,97665,LOMBARDIA,69
182,20200819,170,97835,LOMBARDIA,70
183,20200820,207,98042,LOMBARDIA,71
184,20200821,275,98317,LOMBARDIA,72
185,20200822,149,98466,LOMBARDIA,73
186,20200823,52,98518,LOMBARDIA,74
187,20200824,336,98854,LOMBARDIA,75
188,20200825,343,99197,LOMBARDIA,76
189,20200826,296,99493,LOMBARDIA,77
190,20200827,358,99851,LOMBARDIA,78
191,20200828,263,100114,LOMBARDIA,79
192,20200829,157,100271,LOMBARDIA,80
193,20200830,83,100354,LOMBARDIA,81
194,20200831,316,100670,LOMBARDIA,82
195,20200901,286,100956,LOMBARDIA,83
196,20200902,337,101293,LOMBARDIA,84
197,20200903,291,101584,LOMBARDIA,85
198,20200904,293,101877,LOMBARDIA,86
199,20200905,150,102027,LOMBARDIA,87
200,20200906,63,102090,LOMBARDIA,88
201,20200907,275,102365,LOMBARDIA,89
202,20200908,244,102609,LOMBARDIA,90
203,20200909,256,102865,LOMBARDIA,91
204,20200910,247,103112,LOMBARDIA,92
205,20200911,243,103355,LOMBARDIA,93
206,20200912,142,103497,LOMBARDIA,94
207,20200913,53,103550,LOMBARDIA,95
208,20200914,240,103790,LOMBARDIA,96
209,20200915,231,104021,LOMBARDIA,97
210,20200916,212,104233,LOMBARDIA,98
211,20200917,304,104537,LOMBARDIA,99
212,20200918,272,104809,LOMBARDIA,100
213,20200919,170,104979,LOMBARDIA,101
214,20200920,35,105014,LOMBARDIA,102
215,20200921,234,105248,LOMBARDIA,103
216,20200922,229,105477,LOMBARDIA,104
